"Site_ID","Percent_Bleaching","Temperature_Mean","Turbidity","Cyclone_Frequency","Ecoregion_Name","Distance_to_Shore"
8891,"18.9","299.87","0.0816",58.42,"Bahamas and Florida Keys","9210.96"
8892,"18.9","299.85","0.1024",62.25,"Bahamas and Florida Keys","7939.73"
8829,"19","299.78","0.1836",60.12,"Bahamas and Florida Keys","1490.84"
9095,"19.4","299.85","0.1047",56.55,"Bahamas and Florida Keys","8877.26"
8820,"19.5","299.84","0.1244",57.05,"Bahamas and Florida Keys","6999.8"
9096,"19.5","299.9","0.0577",57.05,"Bahamas and Florida Keys","9711.44"
1340,"20","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
8586,"20","299.75","0.0473",56.97,"Bahamas and Florida Keys","498.47"
8893,"20","299.72","0.0684",33.22,"Bahamas and Florida Keys","3120.9"
8894,"20","299.72","0.0487",33.22,"Bahamas and Florida Keys","3335.48"
9097,"20","299.76","0.1446",62.54,"Bahamas and Florida Keys","5162.93"
9098,"20","299.72","0.0684",33.22,"Bahamas and Florida Keys","2481.7"
8895,"20.4","299.75","0.0818",57.28,"Bahamas and Florida Keys","7710.2"
9099,"20.6","299.91","0.0608",57.28,"Bahamas and Florida Keys","6136.01"
8896,"20.7","299.87","0.0794",58.42,"Bahamas and Florida Keys","9905.8"
8897,"21.2","299.88","0.0641",57.81,"Bahamas and Florida Keys","8081.15"
9100,"21.3","299.82","0.0431",63.75,"Bahamas and Florida Keys","1232.21"
1331,"21.4","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
9101,"21.4","299.87","0.1387",62.59,"Bahamas and Florida Keys","6791.16"
9102,"21.4","299.72","0.0453",54.65,"Bahamas and Florida Keys","537.88"
9103,"21.9","299.8","0.1262",56.58,"Bahamas and Florida Keys","7596.13"
8898,"22","299.76","0.0616",41.6,"Bahamas and Florida Keys","2882.12"
8899,"22.2","299.72","0.0684",33.22,"Bahamas and Florida Keys","1495.01"
1333,"22.5","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
1333,"22.6","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
8900,"22.6","299.81","0.0599",41.6,"Bahamas and Florida Keys","3835.15"
8633,"22.7","299.66","0.0439",52.57,"Bahamas and Florida Keys","794.44"
8901,"22.9","299.87","0.1536",57.93,"Bahamas and Florida Keys","6790.29"
8902,"23.1","299.04","0.1193",57.69,"Bahamas and Florida Keys","1232.16"
8903,"23.2","299.8","0.1262",56.58,"Bahamas and Florida Keys","6222.57"
9253,"23.4","299.86","0.1358",61.18,"Bahamas and Florida Keys","4479.49"
8904,"23.5","299.76","0.0616",41.6,"Bahamas and Florida Keys","2734.01"
9105,"23.7","299.85","0.1047",56.55,"Bahamas and Florida Keys","10881.51"
9106,"23.8","299.82","0.0586",56.58,"Bahamas and Florida Keys","8967.57"
9107,"24.1","299.75","0.1550",54.86,"Bahamas and Florida Keys","4621.36"
1331,"25","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
8905,"25","299.83","0.1636",58.01,"Bahamas and Florida Keys","7164.62"
8906,"25","299.66","0.0439",52.57,"Bahamas and Florida Keys","822.61"
8907,"25","299.04","0.1193",57.69,"Bahamas and Florida Keys","1218.23"
9108,"25","299.89","0.0794",60.12,"Bahamas and Florida Keys","6587.03"
8908,"26.5","299.84","0.0571",56.58,"Bahamas and Florida Keys","9463.57"
9258,"26.5","299.88","0.1240",61.18,"Bahamas and Florida Keys","8647.38"
1331,"26.7","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
9109,"26.7","299.82","0.0425",63.75,"Bahamas and Florida Keys","206.46"
8909,"27.3","299.81","0.1093",55.99,"Bahamas and Florida Keys","9474.69"
8910,"27.3","299.76","0.0548",51.35,"Bahamas and Florida Keys","1827.5"
9110,"27.3","299.84","0.1005",60.51,"Bahamas and Florida Keys","7920.23"
1332,"27.6","299.82","0.0423",51.1,"Bahamas and Florida Keys","410.73"
8911,"28.6","299.88","0.1024",62.25,"Bahamas and Florida Keys","8092.8"
9262,"28.6","299.77","0.0402",52.89,"Bahamas and Florida Keys","1227.32"
8912,"28.8","299.84","0.0532",56.58,"Bahamas and Florida Keys","9574.98"
8913,"29","299.91","0.0608",57.28,"Bahamas and Florida Keys","7760.23"
9111,"29","299.88","0.0794",60.12,"Bahamas and Florida Keys","7015.81"
8914,"29.2","299.76","0.1116",56.58,"Bahamas and Florida Keys","4770.38"
8915,"29.2","299.72","0.0487",33.22,"Bahamas and Florida Keys","983.89"
8916,"29.4","299.80","0.0431",54.65,"Bahamas and Florida Keys","318.59"
9112,"29.4","299.86","0.0653",61.88,"Bahamas and Florida Keys","6436.07"
9113,"29.4","299.04","0.1073",57.69,"Bahamas and Florida Keys","1138.92"
9114,"29.5","299.88","0.0644",62.59,"Bahamas and Florida Keys","7143.73"
9115,"29.5","299.81","0.1500",60.51,"Bahamas and Florida Keys","4752.13"
8917,"29.6","299.85","0.1420",58.42,"Bahamas and Florida Keys","8015.6"
9116,"29.7","299.85","0.0498",56.55,"Bahamas and Florida Keys","10188.64"
9117,"29.9","299.8","0.1705",62.25,"Bahamas and Florida Keys","4070.74"
9264,"30","299.87","0.0506",62.59,"Bahamas and Florida Keys","7224.85"
9106,"30.6","299.82","0.0586",56.58,"Bahamas and Florida Keys","8967.57"
